HospitalCode,TypeDescription,Age,ServiceSupport,AssetCondition,ServiceIntention,FrequencyMaintenanceRequirement,MaintenanceComplexity,TotalDowntime,AlternativeBackup,Operations,MaintenanceCost,Make,Model,Manufacturer,Brand,PurchaseDate,MonthsToFailure,FailureClass
PRK300,Physiologic Monitoring System,13,1,0,1,1,1,452.72,0,2,430.18,Japan,Life Scope #572,Nihon Kohden Corp,Nihon Kohden,2004-10-28,29,3
PRK330,Ventilator,20,1,1,3,2,1,52.19,1,2,174235.62,USA,Smartvent 7900 #867,Datex-Ohmeda Inc,Smartvent,2011-08-23,8,3
PRK320,Infusion Pump,16,1,0,2,1,1,65.06,0,2,9.32,Ireland,Alaris GP #9,Medtronic,Alaris,2007-01-14,7,3
PRK310,Infusion Pump,3,1,0,2,2,1,163.48,0,2,4918.62,USA,Sigma Spectrum #756,Baxter Healthcare Corp,Sigma,2004-05-17,33,2
PRK360,Physiologic Monitoring System,11,1,0,1,1,1,16.16,1,2,374.08,Japan,Life Scope #840,Nihon Kohden Corp,Nihon Kohden,2010-01-14,42,2
PRK360,Infusion Pump,8,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #255,Medtronic,Alaris,2008-07-30,,1
PRK319,Ventilator,11,1,0,3,1,1,12.68,0,1,96.19,Germany,Evita V500 #370,Drager Medical AG & Co KGaA,Evita,2006-06-19,33,3
PRK360,Physiologic Monitoring System,12,1,1,1,1,1,0.0,0,2,0.0,Netherlands,IntelliVue #203,Koninklijke Philips N.V.,Philips,2001-04-28,,1
PRK300,Physiologic Monitoring System,4,0,0,1,1,1,2602.06,0,2,350.39,USA,CARESCAPE #257,GE Healthcare,GE,2002-04-18,44,2
PRK360,Infusion Pump,10,0,1,2,1,1,42.1,0,2,2691.5,Ireland,Alaris GP #565,Medtronic,Alaris,2013-08-02,34,2
PRK358,Sphygmomanometers,16,1,0,1,1,1,81.38,0,1,108093.5,USA,DS66 #709,Welch Allyn Inc,Welch Allyn,2011-04-23,27,2
PRK319,Defibrillator,18,1,0,3,1,1,0.47,0,2,1140.72,Netherlands,HeartStart XL #395,Koninklijke Philips N.V.,HeartStart,2003-11-06,17,3
PRK341,Ventilator,4,1,0,3,1,1,120.68,0,1,0.0,Germany,Evita V500 #450,Drager Medical AG & Co KGaA,Evita,2012-04-12,14,2
PRK350,Infusion Pump,9,1,0,2,1,1,1913.64,0,2,0.0,Ireland,Alaris GP #347,Medtronic,Alaris,2011-09-08,40,3
PRK319,Infusion Pump,7,1,0,2,1,1,11.85,0,2,152.67,Ireland,Alaris GP #101,Medtronic,Alaris,2004-02-04,40,2
PRK320,Infusion Pump,14,1,0,2,1,1,384.2,1,2,231.7,Ireland,Alaris GP #935,Medtronic,Alaris,2006-07-21,22,2
PRK341,Infusion Pump,3,1,0,2,2,1,17.89,0,2,139.07,USA,Sigma Spectrum #288,Baxter Healthcare Corp,Sigma,2002-06-09,26,2
PRK311,Physiologic Monitoring System,6,0,0,1,2,1,2.77,0,2,5972.41,Japan,Life Scope #737,Nihon Kohden Corp,Nihon Kohden,2012-01-08,16,2
PRK311,Physiologic Monitoring System,2,0,0,1,1,1,24.84,1,2,4978.7,USA,CARESCAPE #822,GE Healthcare,GE,1999-11-19,55,2
PRK319,Sphygmomanometers,7,1,0,1,1,1,15.96,0,2,447.4,Malaysia,MV-BP100 #501,Med-Vantage Sdn Bhd,MedVantage,2017-04-05,40,2
PRK342,Infusion Pump,13,1,1,2,1,1,67.19,0,2,23.21,USA,Sigma Spectrum #457,Baxter Healthcare Corp,Sigma,2005-03-23,27,3
PRK320,Infusion Pump,7,1,0,2,1,1,31.66,1,2,86.2,USA,Sigma Spectrum #344,Baxter Healthcare Corp,Sigma,2007-09-24,24,2
PRK333,Infusion Pump,5,0,0,2,1,1,0.0,0,1,0.0,Germany,Infusomat Space #760,B. Braun Melsungen AG,Infusomat,2008-07-05,,1
PRK312,Infusion Pump,15,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #264,Medtronic,Alaris,2012-06-06,,1
PRK312,Infusion Pump,6,0,0,2,1,1,451.41,0,2,0.63,Ireland,Alaris GP #152,Medtronic,Alaris,2005-05-23,44,2
PRK341,Infusion Pump,3,0,0,2,1,1,175.74,0,2,1173.08,Ireland,Alaris GP #995,Medtronic,Alaris,2014-11-21,34,2
PRK310,Infusion Pump,15,1,0,2,1,1,75.23,0,2,3163.81,Ireland,Alaris GP #543,Medtronic,Alaris,2000-12-26,5,3
PRK341,Physiologic Monitoring System,26,1,1,1,1,1,47.49,0,2,3345.46,Netherlands,IntelliVue #297,Koninklijke Philips N.V.,Philips,2011-10-04,8,2
PRK326,Infusion Pump,15,1,0,2,1,1,156.64,0,2,3472.72,Germany,Infusomat Space #18,B. Braun Melsungen AG,Infusomat,2008-09-02,12,3
PRK341,Ventilator,7,0,0,3,1,1,20.27,1,2,7661.87,USA,Carestation 650 #845,Datex-Ohmeda Inc,Carestation,2008-10-18,15,2
PRK326,Physiologic Monitoring System,8,1,0,1,1,1,248.27,0,2,398.6,USA,CARESCAPE #203,GE Healthcare,GE,2010-05-18,29,3
PRK358,Infusion Pump,3,0,0,2,2,1,0.0,0,2,0.0,USA,Sigma Spectrum #132,Baxter Healthcare Corp,Sigma,2000-10-23,,1
PRK300,Ventilator,22,1,0,3,1,1,2.36,0,2,9.52,UK,Blease 8200p #100,Blease Medical Equipment Ltd,Blease,2004-02-27,20,2
PRK358,Ventilator,11,1,0,3,1,1,0.0,1,2,0.0,USA,Carestation 650 #764,Datex-Ohmeda Inc,Carestation,2010-03-05,,1
PRK319,Infusion Pump,7,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #840,Medtronic,Alaris,2011-03-15,,1
PRK300,Infusion Pump,8,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #492,Baxter Healthcare Corp,Sigma,2017-06-04,,1
PRK340,Physiologic Monitoring System,7,0,0,1,1,1,8.43,0,2,64.81,USA,CARESCAPE #664,GE Healthcare,GE,2014-02-18,9,2
PRK319,Infusion Pump,5,0,0,2,1,1,159.76,0,2,151.96,Ireland,Alaris GP #452,Medtronic,Alaris,2009-08-18,47,2
PRK330,Infusion Pump,24,1,1,2,1,1,13.0,0,2,0.0,USA,Sigma Spectrum #333,Baxter Healthcare Corp,Sigma,2013-04-14,27,2
PRK350,Infusion Pump,6,0,0,2,1,1,666.59,1,2,517.94,Germany,Infusomat Space #808,B. Braun Melsungen AG,Infusomat,2019-11-27,20,3
PRK350,Ventilator,2,0,0,3,1,1,217.59,0,1,610.14,Germany,Evita V500 #982,Drager Medical AG & Co KGaA,Evita,2012-07-05,40,2
PRK341,Physiologic Monitoring System,17,1,0,1,1,1,87.87,0,1,1626.08,Netherlands,IntelliVue #55,Koninklijke Philips N.V.,Philips,2003-08-24,9,3
PRK360,Physiologic Monitoring System,20,1,0,1,1,1,971.54,0,2,0.0,Japan,Life Scope #606,Nihon Kohden Corp,Nihon Kohden,2006-10-15,21,2
PRK330,Ventilator,6,0,0,3,1,1,10.16,0,2,0.0,Germany,Evita V500 #9,Drager Medical AG & Co KGaA,Evita,2020-12-31,38,2
PRK300,Infusion Pump,21,0,0,2,1,1,69.0,0,2,10063.94,Ireland,Alaris GP #96,Medtronic,Alaris,2007-11-17,30,2
PRK358,Physiologic Monitoring System,4,1,0,1,1,1,0.0,1,2,1785.77,Japan,Life Scope #106,Nihon Kohden Corp,Nihon Kohden,2006-08-10,11,2
PRK319,Infusion Pump,14,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #354,B. Braun Melsungen AG,Infusomat,1992-03-06,,1
PRK312,Infusion Pump,13,1,2,2,1,1,5.1,0,2,15184.39,Germany,Infusomat Space #47,B. Braun Melsungen AG,Infusomat,2015-04-20,38,3
PRK300,Physiologic Monitoring System,19,1,2,1,2,1,280.88,0,2,32715.63,Japan,Life Scope #216,Nihon Kohden Corp,Nihon Kohden,2007-01-31,15,2
PRK320,Infusion Pump,8,1,0,2,2,1,527.98,0,2,19.87,Germany,Infusomat Space #930,B. Braun Melsungen AG,Infusomat,2005-01-22,43,2
PRK320,Physiologic Monitoring System,8,1,0,1,1,1,0.0,0,2,0.0,USA,CARESCAPE #305,GE Healthcare,GE,2009-01-23,,1
PRK319,Physiologic Monitoring System,28,1,1,1,1,1,3340.98,0,2,447.7,USA,CARESCAPE #119,GE Healthcare,GE,2011-10-13,3,2
PRK341,Physiologic Monitoring System,3,0,0,1,1,1,0.0,0,2,0.0,USA,CARESCAPE #392,GE Healthcare,GE,2009-04-11,,1
PRK342,Physiologic Monitoring System,7,0,0,1,1,1,6.44,1,2,220.04,Netherlands,IntelliVue #786,Koninklijke Philips N.V.,Philips,2005-08-10,40,3
PRK358,Physiologic Monitoring System,12,1,2,1,1,1,20.64,1,2,289.7,USA,CARESCAPE #722,GE Healthcare,GE,2020-08-14,32,2
PRK310,Infusion Pump,11,1,0,2,1,1,108.61,1,2,8045.49,USA,Sigma Spectrum #755,Baxter Healthcare Corp,Sigma,1999-12-26,13,2
PRK311,Infusion Pump,3,0,0,2,1,1,0.0,1,2,28.19,Ireland,Alaris GP #185,Medtronic,Alaris,2013-01-17,4,2
PRK341,Infusion Pump,8,1,0,2,1,1,227.6,0,2,1213.92,Germany,Infusomat Space #2,B. Braun Melsungen AG,Infusomat,2010-09-17,26,3
PRK310,Infusion Pump,8,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #267,Medtronic,Alaris,2004-07-13,,1
PRK320,Infusion Pump,6,1,0,2,1,1,412.28,0,2,11734.39,Ireland,Alaris GP #279,Medtronic,Alaris,2008-05-14,29,2
PRK341,Defibrillator,4,1,0,3,1,1,21.45,1,2,878.73,Netherlands,HeartStart XL #864,Koninklijke Philips N.V.,HeartStart,2003-11-24,10,2
PRK350,Infusion Pump,4,0,0,2,1,1,10262.85,0,2,5998.91,Germany,Infusomat Space #806,B. Braun Melsungen AG,Infusomat,2014-10-23,34,3
PRK319,Infusion Pump,3,0,0,2,1,1,377.49,0,1,859.92,Ireland,Alaris GP #833,Medtronic,Alaris,2008-05-19,15,2
PRK341,Infusion Pump,4,0,0,2,1,1,1.45,0,2,16.57,Germany,Infusomat Space #650,B. Braun Melsungen AG,Infusomat,2005-02-06,43,2
PRK341,Infusion Pump,10,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #629,B. Braun Melsungen AG,Infusomat,2011-03-19,,1
PRK358,Physiologic Monitoring System,27,1,1,1,1,1,14.0,0,2,36053.83,USA,CARESCAPE #774,GE Healthcare,GE,2018-07-26,10,3
PRK319,Physiologic Monitoring System,12,1,0,1,1,1,0.0,0,2,0.0,Netherlands,IntelliVue #898,Koninklijke Philips N.V.,Philips,2001-02-11,,1
PRK342,Ventilator,12,1,0,3,1,1,0.0,0,2,0.0,USA,Carestation 650 #829,Datex-Ohmeda Inc,Carestation,2014-02-09,,1
PRK342,Physiologic Monitoring System,8,1,1,1,1,1,0.95,1,2,0.0,Japan,Life Scope #288,Nihon Kohden Corp,Nihon Kohden,2013-01-24,44,3
PRK319,Infusion Pump,15,1,0,2,1,1,340.86,0,2,167.33,Germany,Infusomat Space #32,B. Braun Melsungen AG,Infusomat,2011-01-27,28,3
PRK341,Ventilator,22,1,2,3,1,1,0.31,0,2,33.22,Germany,Evita V500 #549,Drager Medical AG & Co KGaA,Evita,2014-06-17,10,2
PRK342,Infusion Pump,5,0,0,2,1,1,29.14,0,2,8886.18,USA,Sigma Spectrum #671,Baxter Healthcare Corp,Sigma,2013-04-22,52,2
PRK319,Infusion Pump,2,0,0,2,1,1,236.39,0,2,7524.81,USA,Sigma Spectrum #44,Baxter Healthcare Corp,Sigma,2005-05-18,29,2
PRK330,Infusion Pump,11,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #35,Baxter Healthcare Corp,Sigma,2004-10-24,,1
PRK330,Physiologic Monitoring System,6,0,0,1,1,1,0.0,0,2,0.0,Japan,Life Scope #883,Nihon Kohden Corp,Nihon Kohden,2018-10-12,,1
PRK342,Infusion Pump,6,1,0,2,1,1,113.28,0,2,196.48,Ireland,Alaris GP #927,Medtronic,Alaris,2006-06-12,4,2
PRK300,Infusion Pump,1,1,0,2,1,1,10.8,0,2,994.77,Germany,Infusomat Space #762,B. Braun Melsungen AG,Infusomat,2007-02-04,56,2
PRK333,Infusion Pump,3,0,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #427,Medtronic,Alaris,2016-09-16,,1
PRK312,Infusion Pump,7,0,0,2,1,1,1293.57,1,2,68.31,Germany,Infusomat Space #63,B. Braun Melsungen AG,Infusomat,2020-08-28,22,2
PRK341,Physiologic Monitoring System,7,1,0,1,1,1,87.01,0,2,7222.6,Japan,Life Scope #319,Nihon Kohden Corp,Nihon Kohden,1998-08-02,10,2
PRK342,Infusion Pump,7,1,0,2,1,1,0.0,0,1,0.0,Germany,Infusomat Space #916,B. Braun Melsungen AG,Infusomat,2000-05-24,,1
PRK333,Infusion Pump,7,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #173,Baxter Healthcare Corp,Sigma,2013-02-22,,1
PRK340,Infusion Pump,13,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #442,B. Braun Melsungen AG,Infusomat,2015-01-15,,1
PRK319,Physiologic Monitoring System,2,1,0,1,2,1,0.0,1,2,0.0,Netherlands,IntelliVue #677,Koninklijke Philips N.V.,Philips,2018-08-23,,1
PRK319,Infusion Pump,11,1,0,2,1,1,112.36,0,2,1380.17,Ireland,Alaris GP #936,Medtronic,Alaris,2012-07-03,23,2
PRK342,Infusion Pump,7,0,1,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #819,Medtronic,Alaris,2012-10-30,,1
PRK311,Infusion Pump,12,1,0,2,1,1,164.17,0,2,2543.04,Ireland,Alaris GP #132,Medtronic,Alaris,1999-12-29,33,2
PRK342,Sphygmomanometers,21,1,0,1,1,1,0.0,1,2,0.0,USA,DS66 #109,Welch Allyn Inc,Welch Allyn,2005-03-17,,1
PRK341,Defibrillator,8,1,0,3,1,1,0.0,0,2,0.0,Netherlands,HeartStart XL #511,Koninklijke Philips N.V.,HeartStart,2017-11-13,,1
PRK358,Physiologic Monitoring System,5,1,0,1,1,1,307.28,1,2,2619.2,USA,CARESCAPE #981,GE Healthcare,GE,2009-08-13,16,3
PRK319,Infusion Pump,8,1,0,2,1,1,482.16,0,2,85.93,Ireland,Alaris GP #406,Medtronic,Alaris,2009-05-22,25,3
PRK333,Sphygmomanometers,7,0,0,1,1,1,171.87,0,2,4.98,Japan,HEM-907 #81,Omron Healthcare Co Ltd,Omron,2017-05-13,12,2
PRK300,Ventilator,17,1,0,3,1,1,89.69,0,2,58.45,UK,Blease 8200p #965,Blease Medical Equipment Ltd,Blease,2016-11-27,23,3
PRK358,Physiologic Monitoring System,30,1,1,1,1,1,17.93,0,2,0.0,USA,CARESCAPE #783,GE Healthcare,GE,2008-01-22,7,2
PRK342,Infusion Pump,29,1,0,2,1,1,40.57,0,2,8876.49,Germany,Infusomat Space #476,B. Braun Melsungen AG,Infusomat,2008-07-22,5,2
PRK341,Infusion Pump,1,1,0,2,2,1,341.18,0,2,727.02,Germany,Infusomat Space #69,B. Braun Melsungen AG,Infusomat,2013-10-31,20,2
PRK342,Infusion Pump,7,0,0,2,1,1,12.36,0,1,176.41,USA,Sigma Spectrum #244,Baxter Healthcare Corp,Sigma,2016-10-21,31,2
PRK319,Defibrillator,12,1,2,3,1,1,11.55,0,2,367.06,USA,Lifepak 20e #208,Physio-Control Inc,Lifepak,2009-03-21,29,2
PRK341,Infusion Pump,12,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #113,B. Braun Melsungen AG,Infusomat,2015-06-27,,1
PRK350,Infusion Pump,10,1,1,2,1,1,111.66,0,2,2361.83,USA,Sigma Spectrum #158,Baxter Healthcare Corp,Sigma,2007-07-07,42,2
PRK310,Infusion Pump,11,1,0,2,2,1,0.0,0,2,0.0,USA,Sigma Spectrum #319,Baxter Healthcare Corp,Sigma,2014-08-23,,1
PRK360,Physiologic Monitoring System,12,1,0,1,2,1,290.47,0,2,36902.04,Netherlands,IntelliVue #169,Koninklijke Philips N.V.,Philips,2008-12-13,21,3
PRK358,Infusion Pump,4,0,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #184,Medtronic,Alaris,2003-09-16,,1
PRK360,Defibrillator,15,1,0,3,1,1,916.28,0,2,3381.57,USA,Lifepak 20e #856,Physio-Control Inc,Lifepak,2016-03-01,16,2
PRK350,Physiologic Monitoring System,12,0,0,1,1,1,97.97,0,2,4.81,Japan,Life Scope #530,Nihon Kohden Corp,Nihon Kohden,2007-03-30,35,2
PRK319,Physiologic Monitoring System,4,0,0,1,1,1,201.72,0,2,1007.46,Japan,Life Scope #662,Nihon Kohden Corp,Nihon Kohden,2017-10-30,38,3
PRK341,Infusion Pump,5,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #470,Medtronic,Alaris,1997-08-25,,1
PRK311,Physiologic Monitoring System,8,1,0,1,1,1,142.99,0,2,155.99,Netherlands,IntelliVue #970,Koninklijke Philips N.V.,Philips,2011-05-03,35,2
PRK342,Physiologic Monitoring System,5,0,0,1,1,1,22.31,1,2,231.48,USA,CARESCAPE #770,GE Healthcare,GE,2013-02-05,2,2
PRK311,Physiologic Monitoring System,21,1,1,1,1,1,1.25,0,2,659.17,USA,CARESCAPE #223,GE Healthcare,GE,2010-05-04,10,2
PRK358,Infusion Pump,9,1,0,2,1,1,1506.53,0,1,174.11,Ireland,Alaris GP #167,Medtronic,Alaris,2012-07-19,37,2
PRK319,Infusion Pump,15,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #190,Baxter Healthcare Corp,Sigma,2013-10-15,,1
PRK312,Infusion Pump,8,1,0,2,1,1,20.98,0,2,2966.91,USA,Sigma Spectrum #558,Baxter Healthcare Corp,Sigma,2005-12-14,47,3
PRK300,Infusion Pump,5,0,0,2,1,1,18.69,0,2,814.47,USA,Sigma Spectrum #165,Baxter Healthcare Corp,Sigma,2013-06-16,28,3
PRK342,Infusion Pump,11,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #262,Medtronic,Alaris,2015-04-20,,1
PRK312,Infusion Pump,10,1,0,2,1,1,138.31,0,2,658.05,USA,Sigma Spectrum #833,Baxter Healthcare Corp,Sigma,2017-07-18,37,2
PRK312,Infusion Pump,27,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #717,Baxter Healthcare Corp,Sigma,2014-05-29,,1
PRK312,Physiologic Monitoring System,7,0,0,1,1,1,0.0,0,2,6492.33,Netherlands,IntelliVue #331,Koninklijke Philips N.V.,Philips,2009-02-18,43,3
PRK319,Infusion Pump,12,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #830,Medtronic,Alaris,2013-12-27,,1
PRK358,Defibrillator,3,1,0,3,2,1,86.52,1,2,120422.0,Netherlands,HeartStart XL #598,Koninklijke Philips N.V.,HeartStart,2018-07-15,26,2
PRK333,Physiologic Monitoring System,5,0,0,1,1,1,81.57,0,2,1895.29,USA,CARESCAPE #804,GE Healthcare,GE,2006-11-04,49,3
PRK319,Infusion Pump,9,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #347,B. Braun Melsungen AG,Infusomat,2014-03-14,,1
PRK312,Physiologic Monitoring System,4,1,0,1,1,1,6.56,1,1,321.25,Japan,Life Scope #563,Nihon Kohden Corp,Nihon Kohden,2007-11-19,21,3
PRK300,Infusion Pump,14,0,1,2,1,1,11.83,0,2,2377.56,USA,Sigma Spectrum #540,Baxter Healthcare Corp,Sigma,2008-06-08,13,2
PRK320,Sphygmomanometers,13,1,1,1,1,1,186.79,1,2,6931.99,USA,DS66 #270,Welch Allyn Inc,Welch Allyn,2012-03-02,28,2
PRK311,Infusion Pump,5,0,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #689,Medtronic,Alaris,2005-05-02,,1
PRK300,Ventilator,8,1,0,3,1,1,31.09,0,2,272.98,UK,Blease 8200p #328,Blease Medical Equipment Ltd,Blease,2020-12-18,33,2
PRK310,Infusion Pump,20,1,0,2,1,1,4187.55,0,2,8254.17,Ireland,Alaris GP #119,Medtronic,Alaris,2014-04-06,7,2
PRK319,Infusion Pump,11,1,0,2,1,1,6.85,0,2,0.0,Ireland,Alaris GP #690,Medtronic,Alaris,2011-07-21,36,2
PRK342,Infusion Pump,30,1,2,2,1,1,63.03,0,1,21.66,Germany,Infusomat Space #902,B. Braun Melsungen AG,Infusomat,2010-04-02,4,2
PRK300,Sphygmomanometers,8,1,0,1,1,1,95.66,0,2,0.0,USA,DS66 #871,Welch Allyn Inc,Welch Allyn,2017-04-05,40,2
PRK342,Physiologic Monitoring System,8,1,0,1,1,1,27.67,0,2,599.58,Japan,Life Scope #308,Nihon Kohden Corp,Nihon Kohden,2008-05-01,27,2
PRK341,Infusion Pump,9,1,0,2,1,1,17.28,0,2,0.0,USA,Sigma Spectrum #537,Baxter Healthcare Corp,Sigma,2010-07-12,38,2
PRK358,Infusion Pump,2,1,0,2,1,1,32.98,1,2,0.0,Ireland,Alaris GP #165,Medtronic,Alaris,2009-05-28,48,2
PRK312,Infusion Pump,8,1,0,2,1,1,1000.93,0,2,66.22,Germany,Infusomat Space #551,B. Braun Melsungen AG,Infusomat,1999-04-25,38,3
PRK350,Infusion Pump,8,1,0,2,1,1,28.7,0,2,0.0,USA,Sigma Spectrum #786,Baxter Healthcare Corp,Sigma,2011-09-28,34,2
PRK358,Infusion Pump,15,1,1,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #840,B. Braun Melsungen AG,Infusomat,2012-05-19,,1
PRK360,Infusion Pump,21,1,2,2,1,1,19.11,1,2,1180.31,Ireland,Alaris GP #995,Medtronic,Alaris,2013-04-24,13,3
PRK350,Ventilator,7,1,0,3,1,1,204.77,1,2,345.52,USA,Smartvent 7900 #705,Datex-Ohmeda Inc,Smartvent,2011-04-25,37,3
PRK311,Defibrillator,1,0,0,3,1,1,395.0,1,2,136.03,Netherlands,HeartStart XL #332,Koninklijke Philips N.V.,HeartStart,1997-04-27,23,2
PRK360,Infusion Pump,10,1,0,2,1,1,40.26,1,2,145.98,Germany,Infusomat Space #161,B. Braun Melsungen AG,Infusomat,2002-03-02,36,2
PRK350,Physiologic Monitoring System,4,0,0,1,1,1,195.11,0,2,26969.76,USA,CARESCAPE #411,GE Healthcare,GE,2013-09-30,13,2
PRK319,Infusion Pump,11,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #487,B. Braun Melsungen AG,Infusomat,2009-07-16,,1
PRK312,Physiologic Monitoring System,11,1,0,1,1,1,59.49,0,2,267.62,Japan,Life Scope #188,Nihon Kohden Corp,Nihon Kohden,2014-11-25,22,3
PRK358,Infusion Pump,5,0,0,2,1,1,123.69,1,2,10.35,USA,Sigma Spectrum #625,Baxter Healthcare Corp,Sigma,2016-02-23,31,2
PRK311,Physiologic Monitoring System,10,1,0,1,1,1,96.69,0,2,2020.79,Netherlands,IntelliVue #24,Koninklijke Philips N.V.,Philips,2013-10-19,28,2
PRK342,Physiologic Monitoring System,2,0,0,1,1,1,0.0,0,2,0.0,Netherlands,IntelliVue #185,Koninklijke Philips N.V.,Philips,1998-10-21,,1
PRK330,Physiologic Monitoring System,11,1,0,1,1,1,3.86,1,2,11.82,Netherlands,IntelliVue #134,Koninklijke Philips N.V.,Philips,2019-08-06,3,3
PRK342,Infusion Pump,16,1,1,2,1,1,5.91,1,2,126.0,Ireland,Alaris GP #231,Medtronic,Alaris,2009-04-18,2,2
PRK310,Defibrillator,13,1,0,3,1,1,2.43,1,2,106.99,USA,Lifepak 20e #955,Physio-Control Inc,Lifepak,2020-07-24,14,2
PRK342,Infusion Pump,6,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #971,Medtronic,Alaris,2013-05-05,,1
PRK333,Infusion Pump,16,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #883,Baxter Healthcare Corp,Sigma,2014-04-29,,1
PRK358,Physiologic Monitoring System,14,1,2,1,1,1,28.92,0,2,625.63,Japan,Life Scope #967,Nihon Kohden Corp,Nihon Kohden,2003-03-04,28,2
PRK312,Infusion Pump,15,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #797,Medtronic,Alaris,2011-08-05,,1
PRK311,Ventilator,23,1,1,3,1,1,0.0,0,2,0.0,USA,Carestation 650 #264,Datex-Ohmeda Inc,Carestation,2005-11-07,,1
PRK312,Ventilator,12,1,2,3,1,1,475.51,0,2,603.34,USA,Smartvent 7900 #939,Datex-Ohmeda Inc,Smartvent,2000-03-05,21,2
PRK300,Infusion Pump,4,1,0,2,2,1,0.0,1,2,0.0,USA,Sigma Spectrum #964,Baxter Healthcare Corp,Sigma,2013-05-09,,1
PRK360,Sphygmomanometers,4,1,0,1,1,1,11.45,0,2,847.4,Malaysia,MV-BP100 #631,Med-Vantage Sdn Bhd,MedVantage,2021-02-14,40,3
PRK311,Infusion Pump,12,1,0,2,2,1,9.9,0,2,6.6,Ireland,Alaris GP #443,Medtronic,Alaris,2017-11-29,9,2
PRK312,Infusion Pump,8,1,0,2,1,1,0.0,1,2,0.0,USA,Sigma Spectrum #394,Baxter Healthcare Corp,Sigma,2015-08-08,,1
PRK350,Infusion Pump,7,0,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #127,Baxter Healthcare Corp,Sigma,2007-01-08,,1
